IdLocalidade;Localidade;Municipio;UF
4767;ITAPEBI;ITAPEBI;BA        
4707;ITAPETINGA;ITAPETINGA;BA        
5000;ITAPICURU;ITAPICURU;BA        
4708;ITARANTIM;ITARANTIM;BA        
4808;ITATIM;ITATIM;BA        
4957;ITIUBA;ITIUBA;BA        
4711;ITORORO;ITORORO;BA        
4725;ITUACU;ITUACU;BA        
3783;JABORANDI;JABORANDI;BA        
21348;IRUNDIARA;JACARACI;BA        
3828;JACARACI;JACARACI;BA        
4901;JACOBINA;JACOBINA;BA        
4757;JAGUAQUARA;JAGUAQUARA;BA        
4924;JAGUARARI;JAGUARARI;BA        
4750;JEQUIE;JEQUIE;BA        
3304;JEREMOABO;JEREMOABO;BA        
4925;JUAZEIRO;JUAZEIRO;BA        
4729;JUSSIAPE;JUSSIAPE;BA        
22521;FAZ ETELVINO;LAJEDAO;BA        
21447;KM 13;LAJEDAO;BA        
2706;LAJEDAO;LAJEDAO;BA        
21273;QUEIXADA;LAJEDAO;BA        
4840;LAURO DE FREITAS;LAURO DE FREITAS;BA        
3823;LICINIO DE ALMEIDA;LICINIO DE ALMEIDA;BA        
4720;LIVRAMENTO DO BRUMADO;LIVRAMENTO DO BRUMADO;BA        
24899;BALÇAS;LUIS EDUARDO MAGALHAES;BA        
15355;ENT BA020/BA242 (TREVO);LUIS EDUARDO MAGALHAES;BA        
49;LUIS EDUARDO MAGALHAES;LUIS EDUARDO MAGALHAES;BA        
24900;RIO DE JANEIRO;LUIS EDUARDO MAGALHAES;BA        
3853;MACAUBAS;MACAUBAS;BA        
3298;MACURURE;MACURURE;BA        
4706;MAIQUINIQUE;MAIQUINIQUE;BA        
4716;MALHADA DE PEDRAS;MALHADA DE PEDRAS;BA        
4746;MANOEL VITORINO;MANOEL VITORINO;BA        
21381;ITAIMBE;MASCOTE;BA        
4783;MASCOTE;MASCOTE;BA        
23616;ITUPEVA;MEDEIROS NETO;BA        
2708;MEDEIROS NETO;MEDEIROS NETO;BA        
4900;MIGUEL CALMON;MIGUEL CALMON;BA        
4762;MILAGRES;MILAGRES;BA        
4872;MONTE SANTO;MONTE SANTO;BA        
4276;MORPARA;MORPARA;BA        
4856;MORRO DO CHAPEU;MORRO DO CHAPEU;BA        
23724;CRUZELANDIA;MUCURI;BA        
18640;DIV BA/MG (BR-418);MUCURI;BA        
22090;ENTR.DE TAQUARAS ;MUCURI;BA        
21446;ITABATA;MUCURI;BA        
2713;MUCURI;MUCURI;BA        
21271;RIBEIRAO;MUCURI;BA        
21350;JAVI;MUQUEM DE SAO FRANCISCO;BA        
4274;MUQUEM DE SAO FRANCISCO;MUQUEM DE SAO FRANCISCO;BA        
21270;ARGOLO;NOVA VICOSA;BA        
22091;BELO CRUZEIRO ;NOVA VICOSA;BA        
22092;FAZ. FRANZOPOLIS;NOVA VICOSA;BA        
18627;FAZ. HELIO FONTE ;NOVA VICOSA;BA        
21277;HELVECIA;NOVA VICOSA;BA        
22093;NOVA BRASILIA;NOVA VICOSA;BA        
2714;NOVA VICOSA;NOVA VICOSA;BA        
21272;POSTO DA MATA;NOVA VICOSA;BA        
4990;OLINDINA;OLINDINA;BA        
4279;OLIVEIRA DOS BREJINHOS;OLIVEIRA DOS BREJINHOS;BA        
17745;PONTE PARAMIRIM ;OLIVEIRA DOS BREJINHOS;BA        
3833;PALMAS DE MONTE ALTO;PALMAS DE MONTE ALTO;BA        
4844;PALMEIRAS;PALMEIRAS;BA        
4365;PARAMIRIM;PARAMIRIM;BA        
4869;PARIPIRANGA;PARIPIRANGA;BA        
3316;PAULO AFONSO;PAULO AFONSO;BA        
4408;PILAO ARCADO;PILAO ARCADO;BA        
3843;PINDAI;PINDAI;BA        
4899;PINTADAS;PINTADAS;BA        
4682;PIRIPA;PIRIPA;BA        
