IdLocalidade;Localidade;Municipio;UF
2707;IBIRAPUA;IBIRAPUA;BA        
002707;IBIRAPUA;IBIRAPUA;BA        
2708;MEDEIROS NETO;MEDEIROS NETO;BA        
002708;MEDEIROS NETO;MEDEIROS NETO;BA        
2709;ITANHEM;ITANHEM;BA        
002709;ITANHEM;ITANHEM;BA        
2711;VEREDA;VEREDA;BA        
002711;VEREDA;VEREDA;BA        
2712;CONCEICAO DA BARRA;CONCEICAO DA BARRA;ES        
002712;CONCEICAO DA BARRA;CONCEICAO DA BARRA;ES        
2713;MUCURI;MUCURI;BA        
002713;MUCURI;MUCURI;BA        
2714;NOVA VICOSA;NOVA VICOSA;BA        
002714;NOVA VICOSA;NOVA VICOSA;BA        
2715;TEIXEIRA DE FREITAS;TEIXEIRA DE FREITAS;BA        
002715;TEIXEIRA DE FREITAS;TEIXEIRA DE FREITAS;BA        
2716;ITAMARAJU;ITAMARAJU;BA        
002716;ITAMARAJU;ITAMARAJU;BA        
2717;CARAVELAS;CARAVELAS;BA        
002717;CARAVELAS;CARAVELAS;BA        
2718;ALCOBACA;ALCOBACA;BA        
002718;ALCOBACA;ALCOBACA;BA        
2719;PRADO;PRADO;BA        
002719;PRADO;PRADO;BA        
2720;FIRMINOPOLIS;FIRMINOPOLIS;GO        
002720;FIRMINOPOLIS;FIRMINOPOLIS;GO        
2723;NAZARIO;NAZARIO;GO        
002723;NAZARIO;NAZARIO;GO        
2724;ANICUNS;ANICUNS;GO        
002724;ANICUNS;ANICUNS;GO        
2725;SANCLERLANDIA;SANCLERLANDIA;GO        
002725;SANCLERLANDIA;SANCLERLANDIA;GO        
2727;GOIAS;GOIAS;GO        
002727;GOIAS;GOIAS;GO        
2730;SANTA BARBARA DE GOIAS;SANTA BARBARA DE GOIAS;GO        
002730;SANTA BARBARA DE GOIAS;SANTA BARBARA DE GOIAS;GO        
2733;TRINDADE;TRINDADE;GO        
002733;TRINDADE;TRINDADE;GO        
2737;INHUMAS;INHUMAS;GO        
002737;INHUMAS;INHUMAS;GO        
2741;NOVA VENEZA;NOVA VENEZA;GO        
002741;NOVA VENEZA;NOVA VENEZA;GO        
2742;ITABERAI;ITABERAI;GO        
002742;ITABERAI;ITABERAI;GO        
2743;ITAUCU;ITAUCU;GO        
002743;ITAUCU;ITAUCU;GO        
2748;PETROLINA DE GOIAS;PETROLINA DE GOIAS;GO        
002748;PETROLINA DE GOIAS;PETROLINA DE GOIAS;GO        
2752;CERES;CERES;GO        
002752;CERES;CERES;GO        
2753;RIALMA;RIALMA;GO        
